id	year	start_date	curr_date	subtract_year
451	2006	2006-01-01	2024-05-11	18
452	2007	2007-01-01	2024-05-11	17
453	2008	2008-01-01	2024-05-11	16
454	2009	2009-01-01	2024-05-11	15
455	2010	2010-01-01	2024-05-11	14
456	2011	2011-01-01	2024-05-11	13
457	2012	2012-01-01	2024-05-11	12
458	2013	2013-01-01	2024-05-11	11
459	2014	2014-01-01	2024-05-11	10
460	2015	2015-01-01	2024-05-11	9
461	2016	2016-01-01	2024-05-11	8
462	2017	2017-01-01	2024-05-11	7
463	2018	2018-01-01	2024-05-11	6
464	2019	2019-01-01	2024-05-11	5
465	2020	2020-01-01	2024-05-11	4
466	1980	1980-01-01	2024-05-11	44
467	1981	1981-01-01	2024-05-11	43
468	1982	1982-01-01	2024-05-11	42
469	1983	1983-01-01	2024-05-11	41
470	1984	1984-01-01	2024-05-11	40
471	1985	1985-01-01	2024-05-11	39
472	1986	1986-01-01	2024-05-11	38
473	1987	1987-01-01	2024-05-11	37
474	1988	1988-01-01	2024-05-11	36
475	1989	1989-01-01	2024-05-11	35
476	1990	1990-01-01	2024-05-11	34
477	1991	1991-01-01	2024-05-11	33
478	1992	1992-01-01	2024-05-11	32
479	1993	1993-01-01	2024-05-11	31
480	1994	1994-01-01	2024-05-11	30
481	1995	1995-01-01	2024-05-11	29
482	1996	1996-01-01	2024-05-11	28
483	1997	1997-01-01	2024-05-11	27
484	1998	1998-01-01	2024-05-11	26
485	1999	1999-01-01	2024-05-11	25
486	2000	2000-01-01	2024-05-11	24
487	2001	2001-01-01	2024-05-11	23
488	2002	2002-01-01	2024-05-11	22
489	2003	2003-01-01	2024-05-11	21
490	2004	2004-01-01	2024-05-11	20
491	2005	2005-01-01	2024-05-11	19
492	2006	2006-01-01	2024-05-11	18
493	2007	2007-01-01	2024-05-11	17
494	2008	2008-01-01	2024-05-11	16
495	2009	2009-01-01	2024-05-11	15
496	2010	2010-01-01	2024-05-11	14
497	2011	2011-01-01	2024-05-11	13
498	2012	2012-01-01	2024-05-11	12
499	2013	2013-01-01	2024-05-11	11
500	2014	2014-01-01	2024-05-11	10
501	2015	2015-01-01	2024-05-11	9
502	2016	2016-01-01	2024-05-11	8
503	2017	2017-01-01	2024-05-11	7
504	2018	2018-01-01	2024-05-11	6
505	2019	2019-01-01	2024-05-11	5
506	2020	2020-01-01	2024-05-11	4
507	1980	1980-01-01	2024-05-11	44
508	1981	1981-01-01	2024-05-11	43
509	1982	1982-01-01	2024-05-11	42
510	1983	1983-01-01	2024-05-11	41
511	1984	1984-01-01	2024-05-11	40
512	1985	1985-01-01	2024-05-11	39
513	1986	1986-01-01	2024-05-11	38
514	1987	1987-01-01	2024-05-11	37
515	1988	1988-01-01	2024-05-11	36
516	1989	1989-01-01	2024-05-11	35
517	1990	1990-01-01	2024-05-11	34
518	1991	1991-01-01	2024-05-11	33
519	1992	1992-01-01	2024-05-11	32
520	1993	1993-01-01	2024-05-11	31
521	1994	1994-01-01	2024-05-11	30
522	1995	1995-01-01	2024-05-11	29
523	1996	1996-01-01	2024-05-11	28
524	1997	1997-01-01	2024-05-11	27
525	1998	1998-01-01	2024-05-11	26
526	1999	1999-01-01	2024-05-11	25
527	2000	2000-01-01	2024-05-11	24
528	2001	2001-01-01	2024-05-11	23
529	2002	2002-01-01	2024-05-11	22
530	2003	2003-01-01	2024-05-11	21
531	2004	2004-01-01	2024-05-11	20
532	2005	2005-01-01	2024-05-11	19
533	2006	2006-01-01	2024-05-11	18
534	2007	2007-01-01	2024-05-11	17
535	2008	2008-01-01	2024-05-11	16
536	2010	2010-01-01	2024-05-11	14
537	1991	1991-01-01	2024-05-11	33
538	1992	1992-01-01	2024-05-11	32
539	1993	1993-01-01	2024-05-11	31
540	1994	1994-01-01	2024-05-11	30
541	1995	1995-01-01	2024-05-11	29
542	1996	1996-01-01	2024-05-11	28
543	1997	1997-01-01	2024-05-11	27
544	1998	1998-01-01	2024-05-11	26
545	1999	1999-01-01	2024-05-11	25
546	2000	2000-01-01	2024-05-11	24
547	2001	2001-01-01	2024-05-11	23
548	2002	2002-01-01	2024-05-11	22
549	2003	2003-01-01	2024-05-11	21
550	2004	2004-01-01	2024-05-11	20
551	2005	2005-01-01	2024-05-11	19
552	2006	2006-01-01	2024-05-11	18
553	2007	2007-01-01	2024-05-11	17
